name	email	password
Kamdem Pierre	kamdem.pierre@example.com	Douala2024!
Nguemo Sarah	nguemo.s@example.com	Yaounde2024!
Tchamba Jean	tchamba.jean@example.com	Bafoussam2024!
Fotso Marie	fotso.marie@example.com	Bamenda2024!
Nkengfack Paul	nkengfack.p@example.com	Kribi2024!
Wandji Sophie	wandji.sophie@example.com	Limbe2024!
Kuete André	kuete.andre@example.com	Garoua2024!
Tagne Honorine	tagne.h@example.com	Maroua2024!
Mboula Patrick	mboula.p@example.com	Bertoua2024!
Fouda Estelle	fouda.estelle@example.com	Buea2024!
